problema,perc,rank,fecha,str_perc
Delincuencia,33.2,1,Jul 2013,33.2 %
Pobreza,32.6,2,Jul 2013,32.6 %
Corrupción,25.6,3,Jul 2013,25.6 %
Otro,19.1,4,Jul 2013,19.1 %
Falta de empleo,19,5,Jul 2013,19 %
Delincuencia,35.4,1,Aug 2013,35.4 %
Pobreza,30.1,2,Aug 2013,30.1 %
Corrupción,27.1,3,Aug 2013,27.1 %
Otro,20,4,Aug 2013,20 %
Falta de empleo,17.3,5,Aug 2013,17.3 %
Delincuencia,33.8,1,Sep 2013,33.8 %
Pobreza,30.4,2,Sep 2013,30.4 %
Otro,23.9,3,Sep 2013,23.9 %
Corrupción,23.3,4,Sep 2013,23.3 %
Falta de empleo,17.4,5,Sep 2013,17.4 %
Delincuencia,32.9,1,Oct 2013,32.9 %
Pobreza,28.5,2,Oct 2013,28.5 %
Corrupción,23.8,3,Oct 2013,23.8 %
Otro,22.7,4,Oct 2013,22.7 %
Falta de empleo,17.8,5,Oct 2013,17.8 %
Delincuencia,35.9,1,Nov 2013,35.9 %
Pobreza,28.1,2,Nov 2013,28.1 %
Corrupción,26.7,3,Nov 2013,26.7 %
Otro,22.7,4,Nov 2013,22.7 %
Falta de empleo,15.7,5,Nov 2013,15.7 %
Delincuencia,35.9,1,Dec 2013,35.9 %
Pobreza,30.4,2,Dec 2013,30.4 %
Corrupción,24.4,3,Dec 2013,24.4 %
Otro,21.6,4,Dec 2013,21.6 %
Falta de empleo,16.8,5,Dec 2013,16.8 %
Delincuencia,36.6,1,Jan 2014,36.6 %
Corrupción,33.7,2,Jan 2014,33.7 %
Pobreza,26.4,3,Jan 2014,26.4 %
Otro,19.7,4,Jan 2014,19.7 %
Falta de seguridad ciudadana,17.7,5,Jan 2014,17.7 %
Delincuencia,36.4,1,Feb 2014,36.4 %
Corrupción,32.2,2,Feb 2014,32.2 %
Pobreza,28,3,Feb 2014,28 %
Otro,20.3,4,Feb 2014,20.3 %
Falta de seguridad ciudadana,14.1,5,Feb 2014,14.1 %
Delincuencia,33.9,1,Mar 2014,33.9 %
Corrupción,31.7,2,Mar 2014,31.7 %
Pobreza,26.4,3,Mar 2014,26.4 %
Otro,18.3,4,Mar 2014,18.3 %
Falta de empleo,15.1,5,Mar 2014,15.1 %
Delincuencia,32.2,1,Apr 2014,32.2 %
Corrupción,30.4,2,Apr 2014,30.4 %
Pobreza,23.2,3,Apr 2014,23.2 %
Otro,23,4,Apr 2014,23 %
Falta de seguridad ciudadana,16.8,5,Apr 2014,16.8 %
Delincuencia,35.2,1,May 2014,35.2 %
Corrupción,31.6,2,May 2014,31.6 %
Pobreza,24.2,3,May 2014,24.2 %
Otro,21.2,4,May 2014,21.2 %
Falta de seguridad ciudadana,16.8,5,May 2014,16.8 %
Corrupción,34.4,1,Jun 2014,34.4 %
Delincuencia,32.6,2,Jun 2014,32.6 %
Pobreza,23.7,3,Jun 2014,23.7 %
Otro,20.5,4,Jun 2014,20.5 %
Falta de empleo,16.8,5,Jun 2014,16.8 %
Corrupción,34.2,1,Jul 2014,34.2 %
Delincuencia,32.4,2,Jul 2014,32.4 %
Pobreza,23.4,3,Jul 2014,23.4 %
Otro,20.4,4,Jul 2014,20.4 %
Falta de empleo,15.7,5,Jul 2014,15.7 %
Delincuencia,34.7,1,Aug 2014,34.7 %
Corrupción,31.3,2,Aug 2014,31.3 %
Pobreza,24.4,3,Aug 2014,24.4 %
Otro,19.5,4,Aug 2014,19.5 %
Falta de seguridad ciudadana,16.3,5,Aug 2014,16.3 %
Delincuencia,35.6,1,Sep 2014,35.6 %
Corrupción,30,2,Sep 2014,30 %
Pobreza,23.5,3,Sep 2014,23.5 %
Otro,19.5,4,Sep 2014,19.5 %
Falta de empleo,16.3,5,Sep 2014,16.3 %
Corrupción,34.3,1,Oct 2014,34.3 %
Delincuencia,33.3,2,Oct 2014,33.3 %
Pobreza,24.5,3,Oct 2014,24.5 %
Otro,21.5,4,Oct 2014,21.5 %
Falta de empleo,15.2,5,Oct 2014,15.2 %
Delincuencia,36.3,1,Nov 2014,36.3 %
Corrupción,33.6,2,Nov 2014,33.6 %
Pobreza,23.4,3,Nov 2014,23.4 %
Otro,19.3,4,Nov 2014,19.3 %
Falta de seguridad ciudadana,15,5,Nov 2014,15 %
Delincuencia,35.5,1,Dec 2014,35.5 %
Corrupción,33,2,Dec 2014,33 %
Pobreza,23.8,3,Dec 2014,23.8 %
Otro,19,4,Dec 2014,19 %
Falta de empleo,15.5,5,Dec 2014,15.5 %
Corrupción,38.1,1,Jan 2015,38.1 %
Delincuencia,34.8,2,Jan 2015,34.8 %
Pobreza,23.9,3,Jan 2015,23.9 %
Otro,17.6,4,Jan 2015,17.6 %
Falta de seguridad ciudadana,17.1,5,Jan 2015,17.1 %
Corrupción,35.3,1,Feb 2015,35.3 %
Delincuencia,34.4,2,Feb 2015,34.4 %
Pobreza,24.7,3,Feb 2015,24.7 %
Otro,19.3,4,Feb 2015,19.3 %
Falta de seguridad ciudadana,15.7,5,Feb 2015,15.7 %
Delincuencia,34.5,1,Mar 2015,34.5 %
Corrupción,34.4,2,Mar 2015,34.4 %
Pobreza,23.9,3,Mar 2015,23.9 %
Otro,19.7,4,Mar 2015,19.7 %
Falta de seguridad ciudadana,16.1,5,Mar 2015,16.1 %
Corrupción,35.6,1,Apr 2015,35.6 %
Delincuencia,35.1,2,Apr 2015,35.1 %
Pobreza,24.3,3,Apr 2015,24.3 %
Otro,19.6,4,Apr 2015,19.6 %
Falta de empleo,14.5,5,Apr 2015,14.5 %
Delincuencia,34.6,1,May 2015,34.6 %
Corrupción,33.7,2,May 2015,33.7 %
Pobreza,21.7,3,May 2015,21.7 %
Otro,20.3,4,May 2015,20.3 %
Falta de empleo,15.2,5,May 2015,15.2 %
Delincuencia,39.5,1,Jun 2015,39.5 %
Corrupción,35.3,2,Jun 2015,35.3 %
Pobreza,22.6,3,Jun 2015,22.6 %
Otro,18.7,4,Jun 2015,18.7 %
Falta de empleo,15.5,5,Jun 2015,15.5 %
Delincuencia,37.5,1,Jul 2015,37.5 %
Corrupción,35.7,2,Jul 2015,35.7 %
Pobreza,24,3,Jul 2015,24 %
Otro,16.5,4,Jul 2015,16.5 %
Falta de seguridad ciudadana,16.1,5,Jul 2015,16.1 %
Delincuencia,41.9,1,Aug 2015,41.9 %
Corrupción,33.8,2,Aug 2015,33.8 %
Pobreza,25.9,3,Aug 2015,25.9 %
Falta de seguridad ciudadana,17.5,4,Aug 2015,17.5 %
Otro,17.3,5,Aug 2015,17.3 %
Delincuencia,44.9,1,Sep 2015,44.9 %
Corrupción,33.6,2,Sep 2015,33.6 %
Pobreza,24.3,3,Sep 2015,24.3 %
Falta de seguridad ciudadana,17.3,4,Sep 2015,17.3 %
Otro,16.9,5,Sep 2015,16.9 %
Delincuencia,43.1,1,Oct 2015,43.1 %
Corrupción,33,2,Oct 2015,33 %
Pobreza,24,3,Oct 2015,24 %
Falta de seguridad ciudadana,18,4,Oct 2015,18 %
Otro,17,5,Oct 2015,17 %
Delincuencia,39.9,1,Nov 2015,39.9 %
Corrupción,34.5,2,Nov 2015,34.5 %
Pobreza,25.3,3,Nov 2015,25.3 %
Otro,16.7,4,Nov 2015,16.7 %
Falta de empleo,16.7,5,Nov 2015,16.7 %
Delincuencia,42.9,1,Dec 2015,42.9 %
Corrupción,33.5,2,Dec 2015,33.5 %
Pobreza,24.5,3,Dec 2015,24.5 %
Falta de empleo,17.8,4,Dec 2015,17.8 %
Falta de seguridad ciudadana,16.5,5,Dec 2015,16.5 %
Corrupción,38.8,1,Jan 2016,38.8 %
Delincuencia,37.8,2,Jan 2016,37.8 %
Pobreza,27.4,3,Jan 2016,27.4 %
Falta de seguridad ciudadana,19.8,4,Jan 2016,19.8 %
Falta de empleo,17.2,5,Jan 2016,17.2 %
Delincuencia,38.7,1,Feb 2016,38.7 %
Corrupción,37.2,2,Feb 2016,37.2 %
Pobreza,27.1,3,Feb 2016,27.1 %
Falta de seguridad ciudadana,19.2,4,Feb 2016,19.2 %
Falta de empleo,18.7,5,Feb 2016,18.7 %
Delincuencia,40.8,1,Mar 2016,40.8 %
Corrupción,38.4,2,Mar 2016,38.4 %
Pobreza,28.6,3,Mar 2016,28.6 %
Falta de empleo,17.1,4,Mar 2016,17.1 %
Falta de seguridad ciudadana,16.6,5,Mar 2016,16.6 %
Delincuencia,38.6,1,Apr 2016,38.6 %
Corrupción,34.7,2,Apr 2016,34.7 %
Pobreza,25.5,3,Apr 2016,25.5 %
Falta de seguridad ciudadana,18.9,4,Apr 2016,18.9 %
Otro,18.1,5,Apr 2016,18.1 %
Delincuencia,43.6,1,May 2016,43.6 %
Corrupción,35.1,2,May 2016,35.1 %
Pobreza,20.8,3,May 2016,20.8 %
Falta de seguridad ciudadana,18.9,4,May 2016,18.9 %
Otro,17.9,5,May 2016,17.9 %
Delincuencia,42.3,1,Jun 2016,42.3 %
Corrupción,34.6,2,Jun 2016,34.6 %
Pobreza,22.6,3,Jun 2016,22.6 %
Falta de seguridad ciudadana,18.9,4,Jun 2016,18.9 %
Otro,17.1,5,Jun 2016,17.1 %
Delincuencia,44.7,1,Jul 2016,44.7 %
Corrupción,35.4,2,Jul 2016,35.4 %
Pobreza,24.2,3,Jul 2016,24.2 %
Falta de seguridad ciudadana,18.4,4,Jul 2016,18.4 %
Otro,16.7,5,Jul 2016,16.7 %
Delincuencia,46.5,1,Aug 2016,46.5 %
Corrupción,32.7,2,Aug 2016,32.7 %
Pobreza,22.4,3,Aug 2016,22.4 %
Falta de seguridad ciudadana,17.8,4,Aug 2016,17.8 %
Otro,17.2,5,Aug 2016,17.2 %
Delincuencia,43.2,1,Sep 2016,43.2 %
Corrupción,33.9,2,Sep 2016,33.9 %
Pobreza,21.7,3,Sep 2016,21.7 %
Otro,17.4,4,Sep 2016,17.4 %
Falta de seguridad ciudadana,15.8,5,Sep 2016,15.8 %
Delincuencia,41.7,1,Oct 2016,41.7 %
Corrupción,35.2,2,Oct 2016,35.2 %
Pobreza,22.7,3,Oct 2016,22.7 %
Otro,18.5,4,Oct 2016,18.5 %
Falta de seguridad ciudadana,14.2,5,Oct 2016,14.2 %
Delincuencia,40.9,1,Nov 2016,40.9 %
Corrupción,37.4,2,Nov 2016,37.4 %
Pobreza,21.7,3,Nov 2016,21.7 %
Otro,18.4,4,Nov 2016,18.4 %
Falta de seguridad ciudadana,14.6,5,Nov 2016,14.6 %
Delincuencia,40.8,1,Dec 2016,40.8 %
Corrupción,32.7,2,Dec 2016,32.7 %
Pobreza,21.8,3,Dec 2016,21.8 %
Otro,18.1,4,Dec 2016,18.1 %
Falta de seguridad ciudadana,13.3,5,Dec 2016,13.3 %
Delincuencia,42.1,1,Jan 2017,42.1 %
Corrupción,41.3,2,Jan 2017,41.3 %
Pobreza,21.3,3,Jan 2017,21.3 %
Otro,16.6,4,Jan 2017,16.6 %
Falta de seguridad ciudadana,15.8,5,Jan 2017,15.8 %
Corrupción,43,1,Feb 2017,43 %
Delincuencia,35.9,2,Feb 2017,35.9 %
Pobreza,22,3,Feb 2017,22 %
Otro,19.5,4,Feb 2017,19.5 %
Falta de empleo,13.2,5,Feb 2017,13.2 %
Corrupción,42.7,1,Mar 2017,42.7 %
Delincuencia,36.4,2,Mar 2017,36.4 %
Pobreza,22.4,3,Mar 2017,22.4 %
Otro,22,4,Mar 2017,22 %
Falta de seguridad ciudadana,12.1,5,Mar 2017,12.1 %
Corrupción,40.3,1,Apr 2017,40.3 %
Delincuencia,34.3,2,Apr 2017,34.3 %
Pobreza,24.1,3,Apr 2017,24.1 %
Otro,21.8,4,Apr 2017,21.8 %
Falta de empleo,12.8,5,Apr 2017,12.8 %
Delincuencia,39.8,1,May 2017,39.8 %
Corrupción,39.6,2,May 2017,39.6 %
Pobreza,21.2,3,May 2017,21.2 %
Otro,18.7,4,May 2017,18.7 %
Falta de empleo,12,5,May 2017,12 %
Corrupción,39.5,1,Jun 2017,39.5 %
Delincuencia,38.2,2,Jun 2017,38.2 %
Pobreza,22.8,3,Jun 2017,22.8 %
Otro,17,4,Jun 2017,17 %
Falta de empleo,13.1,5,Jun 2017,13.1 %
Corrupción,39.6,1,Jul 2017,39.6 %
Delincuencia,39,2,Jul 2017,39 %
Pobreza,20.4,3,Jul 2017,20.4 %
Otro,18.3,4,Jul 2017,18.3 %
Falta de empleo,13.9,5,Jul 2017,13.9 %
Corrupción,37.7,1,Aug 2017,37.7 %
Delincuencia,34,2,Aug 2017,34 %
Pobreza,21.8,3,Aug 2017,21.8 %
Otro,16.9,4,Aug 2017,16.9 %
Falta de empleo,12.4,5,Aug 2017,12.4 %
Corrupción,36.7,1,Sep 2017,36.7 %
Delincuencia,35.8,2,Sep 2017,35.8 %
Pobreza,20.6,3,Sep 2017,20.6 %
Otro,18.1,4,Sep 2017,18.1 %
Mala calidad de la educación estatal,12.7,5,Sep 2017,12.7 %
Corrupción,38.2,1,Oct 2017,38.2 %
Delincuencia,35.8,2,Oct 2017,35.8 %
Pobreza,23.9,3,Oct 2017,23.9 %
Otro,16.2,4,Oct 2017,16.2 %
Falta de empleo,12.9,5,Oct 2017,12.9 %
Corrupción,39.1,1,Nov 2017,39.1 %
Delincuencia,37.5,2,Nov 2017,37.5 %
Pobreza,21.6,3,Nov 2017,21.6 %
Otro,18.7,4,Nov 2017,18.7 %
Falta de empleo,11.5,5,Nov 2017,11.5 %
Corrupción,43,1,Dec 2017,43 %
Delincuencia,36.8,2,Dec 2017,36.8 %
Pobreza,22.7,3,Dec 2017,22.7 %
Otro,19,4,Dec 2017,19 %
Falta de empleo,12.2,5,Dec 2017,12.2 %
Corrupción,43.4,1,Jan 2018,43.4 %
Delincuencia,32.9,2,Jan 2018,32.9 %
Pobreza,22.4,3,Jan 2018,22.4 %
Otro,17.2,4,Jan 2018,17.2 %
Falta de empleo,12,5,Jan 2018,12 %
Corrupción,42.9,1,Feb 2018,42.9 %
Delincuencia,36.1,2,Feb 2018,36.1 %
Pobreza,22.5,3,Feb 2018,22.5 %
Otro,18.5,4,Feb 2018,18.5 %
Falta de empleo,12.8,5,Feb 2018,12.8 %
Corrupción,45.4,1,Mar 2018,45.4 %
Delincuencia,35.8,2,Mar 2018,35.8 %
Pobreza,22,3,Mar 2018,22 %
Otro,17.2,4,Mar 2018,17.2 %
Falta de empleo,13.4,5,Mar 2018,13.4 %
Corrupción,47.7,1,Apr 2018,47.7 %
Delincuencia,33.6,2,Apr 2018,33.6 %
Pobreza,22.3,3,Apr 2018,22.3 %
Otro,19.5,4,Apr 2018,19.5 %
Falta de empleo,14.4,5,Apr 2018,14.4 %
Corrupción,46.9,1,May 2018,46.9 %
Delincuencia,34.7,2,May 2018,34.7 %
Pobreza,25.1,3,May 2018,25.1 %
Otro,18.4,4,May 2018,18.4 %
Falta de empleo,13.1,5,May 2018,13.1 %
Corrupción,46,1,Jun 2018,46 %
Delincuencia,32.5,2,Jun 2018,32.5 %
Pobreza,23.4,3,Jun 2018,23.4 %
Otro,19.6,4,Jun 2018,19.6 %
Falta de empleo,11.7,5,Jun 2018,11.7 %
Corrupción,50.8,1,Jul 2018,50.8 %
Delincuencia,32.5,2,Jul 2018,32.5 %
Pobreza,25.3,3,Jul 2018,25.3 %
Otro,18.1,4,Jul 2018,18.1 %
Falta de empleo,11.4,5,Jul 2018,11.4 %
Corrupción,56.5,1,Aug 2018,56.5 %
Delincuencia,29.4,2,Aug 2018,29.4 %
Pobreza,22.9,3,Aug 2018,22.9 %
Otro,18.1,4,Aug 2018,18.1 %
Falta de empleo,11.8,5,Aug 2018,11.8 %
Corrupción,55.3,1,Sep 2018,55.3 %
Delincuencia,31.9,2,Sep 2018,31.9 %
Pobreza,22.5,3,Sep 2018,22.5 %
Otro,17.7,4,Sep 2018,17.7 %
Falta de empleo,12.3,5,Sep 2018,12.3 %
Corrupción,54.7,1,Oct 2018,54.7 %
Delincuencia,32.9,2,Oct 2018,32.9 %
Pobreza,21,3,Oct 2018,21 %
Otro,18.8,4,Oct 2018,18.8 %
Falta de empleo,11.5,5,Oct 2018,11.5 %
Corrupción,57.8,1,Nov 2018,57.8 %
Delincuencia,30.8,2,Nov 2018,30.8 %
Pobreza,22,3,Nov 2018,22 %
Otro,17.5,4,Nov 2018,17.5 %
Falta de seguridad ciudadana,10.7,5,Nov 2018,10.7 %
Corrupción,55.9,1,Dec 2018,55.9 %
Delincuencia,35.3,2,Dec 2018,35.3 %
Pobreza,22.8,3,Dec 2018,22.8 %
Otro,17.5,4,Dec 2018,17.5 %
Falta de empleo,11.3,5,Dec 2018,11.3 %
